Word,Coefficient
07112017,0.06160139441708952
10,0.23411213086785496
100,0.2125976009989898
101,0.0652471789797686
1024,0.01018556938649959
1080p,0.1242083093370133
11,0.06249820860897374
12,0.13870284226884047
125g,0.018762415679773343
12ghzread,0.03440173381516462
12ghzscreen,0.035133600306989365
13,0.0989964006399629
139,0.03202187716865324
15,-0.5201088676391202
16,0.14629539539635772
16gb,0.1258530721627679
16gig,0.05015698327696902
16level,0.05601686598343052
17,0.031160064490255598
17read,0.0313386043325907
18,0.042917165197915025
1920x1080,0.035133600306989365
199,0.04237452923719694
1999,-0.38611580240437066
1st,-0.23277146874008361
1yearold,0.02133922296900283
20,0.04475113162187998
200,0.06986103858530707
2007,0.034162607108203326
2009,0.03560724544373533
2010i,0.02133922296900283
2011my,0.02133922296900283
2012,0.08871731581460339
2013,0.1382711214608121
2013size,0.01962276855660142
2013thank,0.06160972355471095
2014,0.13287948610873077
2014hi,0.09994452780650984
2015,0.2871197469885036
2015as,0.03022307771317634
2015size,0.01962276855660142
2016,0.022508717288098397
2017,0.10959735380748814
21,0.022243001362567967
212,0.04996057760570075
216,0.01797095499894708
22,0.00949806434372092
229,0.01865883846436189
22ghz,0.06223934848111917
23,0.09399755099990952
24,-0.2771715699839795
25,0.10470564920492234
2gb,-0.11903764510150051
2nd,-0.24712420672342544
30,-0.6438502490867629
300,0.15558611951237813
3000,0.03829124688164919
32,0.07768536153526137
323,0.010523238032215684
32gb,0.04942150434457697
35,-0.08793087015993022
35mm,0.06577758347955193
3g,0.026515866467696814
3rd,0.044124089680641986
40,-0.20849754088598071
40000,-0.281542061273558
44,0.06244595066425969
45,0.09026786431098882
48,0.026382031911566607
4gbpage,0.05601686598343052
4th,-0.19360246518737895
50,-0.48608978920940255
500,-0.4103792903628758
5way,0.04590727677295634
60,0.05301335792258972
61517,-0.17971209393678741
63,0.02144121297760697
64,0.03586495392130492
64gb,0.02302178003304719
64x45x030weight,0.02144121297760697
67x46x036weight,0.05601686598343052
6display,0.01962276855660142
6read,0.05015698327696902
6th,0.03238629866359984
70,-0.282637032520328
70s,0.2721544696901686
72,0.04568166369300859
720p,0.04079450970059298
72416,0.034162607108203326
73,-0.06389237930475994
78,0.024840361577155086
79,-0.5627697294739968
7display,0.01962276855660142
7read,0.02144121297760697
7speed,0.035133600306989365
7th,-0.4660287730699863
80,0.08405777236508577
800,0.012023476860770974
80s,0.0395097049454102
89,0.25433921208318766
898,0.06244595066425969
8th,0.034162607108203326
90,-0.27436713670923474
910the,0.03440173381516462
910this,0.07026720061397873
95,0.047958575279382666
99,0.08688654570936576
ability,0.2668801299584502
able,-0.15697915076463695
absolute,0.01640321745686682
absolutely,0.274675098922435
absorbs,0.06537158220351581
ac,0.03806665960571578
accent,0.04938380255083307
acceptable,-0.35991869466847004
access,0.2876077451288886
accessible,0.04856950542578065
accessories,0.05854063498780514
accessory,0.05822941460221133
accidental,0.23476135377046436
accomplished,0.02929522395586262
according,0.009871379379406
account,-0.08378912296698514
accounts,0.09059748648605814
accuracy,0.02919720535985221
accuracyif,0.02919720535985221
accurate,0.10024446278367638
accustomed,0.022834252037134118
acer,0.029313032894804147
achieve,0.02919720535985221
acting,0.02144121297760697
action,0.08815201894984281
activate,0.0030327914865705273
activated,-0.028199651735063377
activation,0.15628185385371987
active,0.03284812001318608
actual,-0.09359454056604888
actually,-0.017141884676779094
adapter,0.09450346169072199
adaptersize,0.03022307771317634
adaptive,0.02144121297760697
adaptor,-0.41833236631162457
add,0.324745560817968
added,0.019767103495860028
adding,0.27101266751803366
addition,0.1867055953503275
additional,-0.6077433694362788
address,0.14464349434509388
adds,0.2015659107304007
adequate,0.048715289655880574
adjust,0.08963019652664375
adjustable,0.06515264676404686
adjusting,0.02144121297760697
adjustmentpaperwhitesize,0.02144121297760697
adjusts,0.047535425114321225
admittedly,0.03379210242628936
ads,0.27053868419063254
adult,0.0923559575019178
advanced,0.07172389514012563
advantage,0.048370717292724005
adversely,0.014480410188514134
advertised,0.10045450911804465
advertisement,0.03681350646323982
advised,0.10760374578079315
affect,0.014480410188514134
afford,-0.31624609730520725
affordable,0.027410891556338086
afraid,0.025684655284790966
aftermy,0.06537158220351581
age,-0.06717211308477433
agent,0.037968151931715884
ages,0.10964500628447357
ago,-0.4991649456473777
agoif,0.02929522395586262
agree,0.004359042035613606
agreed,0.08442132716707215
ahead,0.052468143744290846
ai,0.17932313019641988
air,0.07032013434078518
alarm,0.3007506841606177
alarms,0.0463905290911
album,0.03878054233422642
alex,0.06949024756284437
alexa,2.023371683567077
alexas,-0.22498453278666114
alexis,0.0630312368725755
allnew,0.09657866904880585
allow,0.2667496364001964
allowed,0.014480410188514134
allowing,0.09391870937348298
allows,-0.07580851042933776
alsostill,0.027260967895919905
alternate,0.011804364136448598
aluminum,0.03642918881734572
amazed,0.10459087232344799
amazing,-0.051288100584666575
amazing2,0.03829124688164919
amazingly,0.02908976363343085
amazon,0.11004114010605363
amazoncom,0.16591586273252087
amazons,-0.13129419388140726
ambient,0.10523053803243543
amt,0.018762415679773343
analysis,0.06160972355471095
andor,0.0725935914492756
android,0.19189316412723514
androidsi,0.07893115373397414
angle,-0.22727751938578342
angles,0.02505731923261181
announced,0.0431896468092088
annoy,0.0313386043325907
annoyance,0.04692599789474412
annoyed,0.07465541750878125
annoying,-0.21302122214650254
answer,-0.15278398005477337
answered,0.12221596159499408
answering,-0.9086301435534481
answers,0.08174448197732839
antenna,0.021593205073134183
antiglare,0.22973585760543272
anybody,-0.20538115930883777
anymore,-0.1011986546316711
anytime,0.0703852936982424
apart,-0.5315253235698327
apartment,-0.20309265452847375
app,-1.544898971629809
apparently,-0.09770586938953586
appear,-0.5119122144392745
appearance,0.09271292617997777
appearing,0.0723346405466382
appears,-0.1284450401141981
apple,0.5741674369153912
apples,0.037612590341961835
application,0.17140044168585072
appmy,0.020837896796208576
appreciate,0.11850136388022323
appropriate,0.03514565863943355
apps,0.2831331920767328
april,0.0824472351564869
area,0.19512520386913945
arent,0.20000605312108288
arms,0.05608707302275973
arrive,-0.24565896275834834
arrived,-0.05300435447026221
art,0.025351876659548567
artist,0.059582047774904626
aside,0.05467264427954719
ask,0.1463598189042765
asked,-0.0802379561704266
asking,0.23826498274578467
asleep,-0.1508450828729672
aspect,0.06987964208501157
aspects,0.10053026355852135
assistant,0.17433903590674077
associated,0.04262212054356337
associated2,0.03829124688164919
assumption,0.08819478116933896
asus,0.11128165932942509
atmy,0.035133600306989365
att,0.1712452451730935
attach,0.03782480612625594
attached,0.04506782089105327
attempt,0.02916781349869086
attempted,0.029562084726359926
attempting,-0.3429370585226443
attention,0.09499105686566317
attract,0.08778316491188022
attractive,0.036126898066446846
audible,0.09575014218616648
audibleand,0.018762415679773343
audio,0.18895761140744352
audiophile,0.09939263890294323
august,0.03244231120299926
auto,0.058422670905655096
automated,0.06246303164421267
automatic,0.02304934412059315
automatically,-0.26729525264514475
automation,0.0613971654555791
available,-0.0651355898535142
average,0.19291833298170252
avid,0.05708065985495518
aware,0.0690455595950517
away,0.12340912343786797
awesome,0.8131808430445977
background,0.2416073698065612
backgrounds,0.01796380632997047
backlight,0.05206704439493231
backlit,0.04596778389239883
backpack,0.02836838844824744
backthey,0.08174448197732839
backward,-0.2987354466363983
bad,-0.5802126498314101
bag,0.1295046183572364
